,Address,Result,zksync_score,zksync_num_transactions,zksync_first_funder,zksync_first_funder_amount,zksync_first_funder_timestamp,ethereum_activity_score,ethereum_activity_num_transactions,ethereum_activity_first_funder,ethereum_activity_first_funder_amount,ethereum_activity_first_funder_timestamp,optimism_score,optimism_num_transactions,optimism_first_funder,optimism_first_funder_amount,optimism_first_funder_timestamp,polygon_score,polygon_num_transactions,polygon_first_funder,polygon_first_funder_amount,polygon_first_funder_timestamp,arbitrum_score,arbitrum_num_transactions,arbitrum_first_funder,arbitrum_first_funder_amount,arbitrum_first_funder_timestamp,aggregate_score,aggregate_num_transactions,aggregate_first_funder,aggregate_first_funder_amount,aggregate_first_funder_timestamp,L2_transactions,total_transactions
0,0x0006955Fea7bd133c92b86AFdF1B62ad9b879922,"{'models': {'zksync': {'score': 84, 'num_transactions': 30, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 24, 'first_funder': '0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840', 'first_funder_amount': 0.14093344, 'first_funder_timestamp': '2023-10-28 14:37:59+00:00'}, 'optimism': {'score': 4, 'num_transactions': 40, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 0, 'num_transactions': 47, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 1, 'num_transactions': 44, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 3, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",84,30,,0.0,,0,24,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,0.14093344,2023-10-28 14:37:59+00:00,4,40,,0.0,,0,47,,0.0,,1,44,,0.0,,3.0,0,,0.0,,161,185
1,0x00097a256496e4F094b6408a3C50607D59B0364C,"{'models': {'zksync': {'score': 99, 'num_transactions': 111, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 17, 'first_funder': '0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840', 'first_funder_amount': 0.103, 'first_funder_timestamp': '2023-07-05 15:40:59+00:00'}, 'optimism': {'score': 0, 'num_transactions': 4, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 54, 'num_transactions': 25, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 0, 'num_transactions': 1, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 58, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",99,111,,0.0,,0,17,0xf7858da8a6617f7c6d0ff2bcafdb6d2eedf64840,0.103,2023-07-05 15:40:59+00:00,0,4,,0.0,,54,25,,0.0,,0,1,,0.0,,58.0,0,,0.0,,141,158
2,0x001Cc1239e2CD8e4974670B86295BB07ab84f07a,"{'models': {'zksync': {'score': 98, 'num_transactions': 212, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 68, 'first_funder': '0x5f8f59f78eed763701ee5ed1af49f17119c31269', 'first_funder_amount': 0.0082, 'first_funder_timestamp': '2023-03-27 05:44:11+00:00'}, 'optimism': {'score': 10, 'num_transactions': 34, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 42, 'num_transactions': 1856, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 21, 'num_transactions': 63, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 10, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",98,212,,0.0,,0,68,0x5f8f59f78eed763701ee5ed1af49f17119c31269,0.0082,2023-03-27 05:44:11+00:00,10,34,,0.0,,42,1856,,0.0,,21,63,,0.0,,10.0,0,,0.0,,2165,2233
3,0x0025d3f03DDd0B067DFB93eFb53500776F073FcC,"{'models': {'zksync': {'score': 96, 'num_transactions': 180, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 13, 'first_funder': '0xdfd5293d8e347dfe59e90efd55b2956a1343963d', 'first_funder_amount': 0.09940272, 'first_funder_timestamp': '2023-09-10 08:59:59+00:00'}, 'optimism': {'score': 8, 'num_transactions': 259, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 5, 'num_transactions': 308, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 5, 'num_transactions': 170, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 11, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",96,180,,0.0,,0,13,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,0.09940272,2023-09-10 08:59:59+00:00,8,259,,0.0,,5,308,,0.0,,5,170,,0.0,,11.0,0,,0.0,,917,930
4,0x00517b07DB18A4210276398fe3fab14Dc60F495C,"{'models': {'zksync': {'score': 97, 'num_transactions': 641, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 525, 'first_funder': '0x9696f59e4d72e237be84ffd425dcad154bf96976', 'first_funder_amount': 0.01374, 'first_funder_timestamp': '2022-09-26 00:01:35+00:00'}, 'optimism': {'score': 0, 'num_transactions': 1164, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 0, 'num_transactions': 1965, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 2, 'num_transactions': 1687, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 3, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",97,641,,0.0,,0,525,0x9696f59e4d72e237be84ffd425dcad154bf96976,0.01374,2022-09-26 00:01:35+00:00,0,1164,,0.0,,0,1965,,0.0,,2,1687,,0.0,,3.0,0,,0.0,,5457,5982
5,0x006254729AD977042210071B2E118C82739a191b,"{'models': {'zksync': {'score': 99, 'num_transactions': 709, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 25, 'num_transactions': 1027, 'first_funder': '0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be', 'first_funder_amount': 0.71593834, 'first_funder_timestamp': '2021-04-20 10:46:29+00:00'}, 'optimism': {'score': 4, 'num_transactions': 1797, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 1, 'num_transactions': 1974, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 2, 'num_transactions': 1743, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 3, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",99,709,,0.0,,25,1027,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0.71593834,2021-04-20 10:46:29+00:00,4,1797,,0.0,,1,1974,,0.0,,2,1743,,0.0,,3.0,0,,0.0,,6223,7250
6,0x006689Cee3f4C0dcc92c4DC67921b651ed53777d,"{'models': {'zksync': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'optimism': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 0, 'num_transactions': 4, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",0,0,,0.0,,0,0,,0.0,,0,0,,0.0,,0,0,,0.0,,0,4,,0.0,,,0,,0.0,,4,4
7,0x007ce29065b856DFBE23c4b51F1b3Ba093cbf08a,"{'models': {'zksync': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'optimism': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 0, 'num_transactions': 1, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 0, 'num_transactions': 8, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 0, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",0,0,,0.0,,0,0,,0.0,,0,0,,0.0,,0,1,,0.0,,0,8,,0.0,,,0,,0.0,,9,9
8,0x0087B8616714e74d681430bf4F9A1189965bB16F,"{'models': {'zksync': {'score': 98, 'num_transactions': 562, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 261, 'first_funder': '0x9696f59e4d72e237be84ffd425dcad154bf96976', 'first_funder_amount': 0.0085942, 'first_funder_timestamp': '2023-05-20 08:37:11+00:00'}, 'optimism': {'score': 7, 'num_transactions': 934, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 9, 'num_transactions': 1859, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 4, 'num_transactions': 1625, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 19, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",98,562,,0.0,,0,261,0x9696f59e4d72e237be84ffd425dcad154bf96976,0.0085942,2023-05-20 08:37:11+00:00,7,934,,0.0,,9,1859,,0.0,,4,1625,,0.0,,19.0,0,,0.0,,4980,5241
9,0x008Fa7EC9B24322e2Ce6ED8E7E3c3085D9a07178,"{'models': {'zksync': {'score': 99, 'num_transactions': 650, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'ethereum_activity': {'score': 0, 'num_transactions': 146, 'first_funder': '0x29029bbe90540245c3d05cdd52f06730deccac2f', 'first_funder_amount': 0.000818162372354462, 'first_funder_timestamp': '2022-09-16 05:35:23+00:00'}, 'optimism': {'score': 3, 'num_transactions': 333, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'polygon': {'score': 4, 'num_transactions': 1577, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'arbitrum': {'score': 2, 'num_transactions': 542, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}, 'aggregate': {'score': 4, 'num_transactions': 0, 'first_funder': '', 'first_funder_amount': 0.0, 'first_funder_timestamp': ''}}}",99,650,,0.0,,0,146,0x29029bbe90540245c3d05cdd52f06730deccac2f,0.000818162372354462,2022-09-16 05:35:23+00:00,3,333,,0.0,,4,1577,,0.0,,2,542,,0.0,,4.0,0,,0.0,,3102,3248
