Address,aggregate_score
0x5e26b2E455CE24976d0b46ec4ecE3Fc62ACF6a87,0
0xCa5a940E87cC4D4cC9F5F749c58a4DDcA79a3328,92
0x89d9Dd2e85ecC305E276f51BB21fd4C708Be9487,88
0x426cf0A8423A9522A78cd3325984AE000D425EeB,0
0xbE0D4AB1F07F468e7cd2f6cf1Cb6d78aA7A8E77e,2
0x20C28C5c550F1C349785f60617545b51cC30263E,0
0x3331D48b6e173D253eF5B24fCDD011FA157a820c,0
0x7b611fb9712994f974BadfaFE870b92fCbAfE241,10
0x80c23f367474972Ad6E2eB5F6BA3BF045efd8e8c,0
0xA01Fe39c54c756572d267290E1bA1A054734DB81,0
0x77924FA9eF685BB728716770154eA654d9D954ad,0
0x679ac06970Af5215F142543CeDda3d7F557e8899,0
0x533DE23b383BD07432E7a88169d83B95Ae31Cebf,0
0xF6D7093191b24593932769253978C1D106d09559,0
0x63d90FeD9f6873F267C6cEdd3F0CdCEc17384fbC,0
0x6152Ec47aCfc30160B5e3D34e38A140362e7471f,1
0x7576ABd7d9465591B6A41d7d2B77E0c860A99878,0
0x038EDc61B0913f5a1FB5d4C9C05Ec278B595e652,0
0x525868063dfB084A3542e2DFeb60D81e21d79c31,0
0xa6D5076f10C550eaF85eD71efef22709345FC1F1,60
0x517Bab93b6D0aD38C7f989Cd081b3b18A1A7B179,1
0xc0229733799A32FCBDA487554867239B341bF958,0
0x343a0869Fc2E5F8eB1D5C1E582aaccE96c585ba0,0
0x9b90F0c0Dff9CEEEcB62758d62ec476cBBE8333C,2
0x4e12d870e0e841577a1d6ea08898b44cB1D0681C,0
0x62de84e817A9f328605122aCb88A6449100680F2,1
0x90811C6839f1a792104B9eD1c54290ba1dD60D98,1
0x07F62F48709B2c427E54e102531D07d9E21Ad99E,0
0x3e3fe023928a7ADDAe16A6199045B012d1fFace0,1
0xaEb01e0F8B9873A80a78A4B20dB74E3CFF3791Dd,0
0x5A8BF7fdc5Be87012203233845DFe208e337529D,0
0x61B3d3d5270f8C07829Db706F826Df2316228603,0
0xa6c672662690868293c7CC072688F7f85b0D5Dd4,0
0x44a62A5B6e73d49365B3eCFD0EC66554b4c94D84,0
0xda930060b712589736018c6D891ec57B0399db78,0
0x52F15b7b6Cd79d5222c6370B9BF3eD035e81A1b2,5
0xc02836da7e0183BAC6d08cA1Bd9D7fdC2E031634,1
0x16f1B3e0267BF91d2BB98aEBb821F59C0000d818,0
0x86571A96A344eA5C26F8f44B0944f42D8D5F627C,0
0x1Dd245B747D59383f6E4549Ed5F5f346585971b5,0
0x52Ff8C5DcAC80206917e02Dc0CE08178c6Ea6376,1
0x03a64c9412284e7f6102eb67a9eAc6c780A81032,0
0x5FfD23B1B0350debB17A2cB668929aC5f76d0E18,57
0x4b7866e717f27Fa1C38313D25F647aE0598571BD,18
0x13e1633b78d5EAD15f5196f74cF801468A75F732,23
0x109e602bBEb8825e167fa95C63Af39Af03C881A1,0
